city,vehicleNum
vadodara,GJ12BX1586
vadodara,GJ06EQ3832
vadodara,RJ50GA1563
vadodara,GJ06NM9912
vadodara,GJ06KC1264
vadodara,GJ06KG8232
vadodara,KA23B5589
vadodara,UP83BT3800
vadodara,GJ17UU7628
vadodara,GJ05RB8182
vadodara,GJ06BT8956
vadodara,GJ06KF7421
vadodara,GJ06ML3708
vadodara,GJ06PE0076
vadodara,GJ06QF5003
vadodara,GJ06PC1491
vadodara,GJ35E2181
vadodara,GJ18BQ2772
vadodara,GJ06HP3891
vadodara,GJ06NQ7482
vadodara,GJ06NQ7482
vadodara,GJ06NQ7482
vadodara,GJ06NQ7482
vadodara,GJ21CA8882
vadodara,GJ06PS6001
vadodara,UP23AT0990
vadodara,UP23AT0990
vadodara,GJ05UU9718
vadodara,GJ06NR9053
vadodara,GJ06QA5102
vadodara,GJ06BW9898
vadodara,DL6CM5348
vadodara,GJ06PN9076
vadodara,GJ06MN3350
vadodara,GJ06NF0047
vadodara,GJ06NF0047
vadodara,GJ06LB6287
vadodara,GJ06JM5092
vadodara,RJ22GB4350
vadodara,GJ23AB8353
vadodara,GJ06YY1278
vadodara,GJ38BE1166
vadodara,GJ06AU7823
vadodara,GJ06Y6947
vadodara,GJ06BW4015
vadodara,GJ23AW4678
vadodara,GJ06BU7619
vadodara,GJ05CR8339
vadodara,GJ06AY1070
vadodara,GJ06KE2199
vadodara,GJ06BT8035
vadodara,KA35B9969
vadodara,GJ18BT3777
vadodara,GJ06ES4382
vadodara,GJ06LM4777
vadodara,GJ06ND0342
vadodara,GJ06VV5891
vadodara,GJ06HE4162
vadodara,GJ05BZ6342
vadodara,GJ06BX4755
vadodara,GJ27DM5192
vadodara,GJ06LC7291
vadodara,GJ07EC1680
vadodara,GJ06HQ1272
vadodara,GJ23H5989
vadodara,UP54AA8723
vadodara,GJ05RA3884
vadodara,GJ06EQ1111
vadodara,GJ06QF4901
vadodara,BR29Y6819
vadodara,GJ17CK0478
vadodara,GJ15AT9157
vadodara,GJ07AT6117
vadodara,GJ36T1361
vadodara,GJ36T1361
vadodara,GJ36T1361
vadodara,GJ23W3811
vadodara,MH48BM4538
vadodara,RJ10GB8070
vadodara,GJ06QF8076
vadodara,GJ06PA4267
vadodara,GJ06BW4897
vadodara,GJ06LK0112
vadodara,GJ05RY3313
vadodara,GJ06QC4867
vadodara,GJ01DZ3411
vadodara,GJ06NF4810
vadodara,GJ06NC3655
vadodara,GJ06NH4780
vadodara,GJ06KL5678
vadodara,GJ06BU8027
vadodara,GJ06HC8014
vadodara,GJ06RB0024
vadodara,GJ06NC9193
vadodara,MH48BM4536
vadodara,GJ06PL3661
vadodara,GJ06QS1345
vadodara,GJ05CN8851
vadodara,GJ23CG7889
vadodara,GJ06AV0450
vadodara,GJ06BW0412
vadodara,GJ10BD3897
vadodara,GJ06KQ9718
vadodara,GJ06MQ8663
vadodara,GJ06JB5090
vadodara,GJ06JB5090
vadodara,MH48CB2038
vadodara,GJ20BE5833
vadodara,GJ01CT4478
vadodara,GJ01RM4983
vadodara,GJ05JP7421
vadodara,GJ06FE2706
vadodara,GJ06NF8702
vadodara,GJ06BX0044
vadodara,GJ06BV2898
vadodara,GJ06NB6756
vadodara,GJ06ME6865
vadodara,GJ35B5319
vadodara,GJ19X5319
vadodara,GJ01BV2041
vadodara,GJ34T2210
vadodara,RJ43GA9786
vadodara,MP14ND2746
vadodara,GJ34T7769
vadodara,MP14ND2746
vadodara,GJ06QE8723
vadodara,RJ09GD0651
vadodara,GJ06PS2798
vadodara,GJ17CE9199
vadodara,GJ11CM1949
vadodara,GJ16BP9557
vadodara,GJ22U3612
vadodara,DD03E8442
vadodara,DD03E8442
vadodara,MH12VV2596
vadodara,GJ06QL8624
vadodara,GJ06MQ9960
vadodara,GJ06LE8929
vadodara,GJ06SD5409
vadodara,GJ06MF7070
vadodara,GJ06ZZ9936
vadodara,GJ05BX5501
vadodara,GJ06LE1835
vadodara,GJ20BD5871
vadodara,GJ20BD5871
vadodara,GJ20BD5871
vadodara,GJ08Z9888
vadodara,GJ34P2803
vadodara,GJ06KH2109
vadodara,GJ20BL8881
vadodara,GJ34M6131
vadodara,GJ06ML3696
vadodara,GJ06DA7102
vadodara,GJ06MK4884
vadodara,RJ09GD3401
vadodara,GJ06LP8908
vadodara,GJ14BE4159
vadodara,GJ17CK3757
vadodara,GJ06AW1337
vadodara,GJ06HS0677
vadodara,GJ26AB7527
vadodara,DD01S9943
vadodara,GJ33F1763
vadodara,RJ19GG1954
vadodara,GJ06AU1842
vadodara,GJ35P4670
vadodara,GJ01KF0396
vadodara,GJ06MS2603
vadodara,GJ06RA2012
vadodara,GJ07CE3897
vadodara,GJ06HP0457
vadodara,GJ06MH3707
